track_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,year_released,album,album_id,artist_id,artist,genres_top,genres_all_id,track,duration,genres_all
2,0.4166752327,0.6758939853,0.6344762684,0.0106280683,0.1776465712,0.1593100648,165.922,0.576660988,2009.0,AWOL - A Way Of Life,1,1,AWOL,Hip-Hop,[21],Food,168,['Hip-Hop']
3,0.3744077685,0.5286430621,0.8174611317,0.0018511032,0.1058799438,0.4618181276,126.957,0.2692402421,2009.0,AWOL - A Way Of Life,1,1,AWOL,Hip-Hop,[21],Electric Ave,237,['Hip-Hop']
5,0.0435668989,0.7455658702,0.7014699916,0.000696799,0.3731433124,0.1245953419,100.26,0.6216612236,2009.0,AWOL - A Way Of Life,1,1,AWOL,Hip-Hop,[21],This World,206,['Hip-Hop']
10,0.9516699648,0.6581786543,0.9245251615,0.9654270154,0.1154738842,0.0329852191,111.562,0.9635898919,2008.0,Constant Hitmaker,6,6,Kurt Vile,Pop,[10],Freeway,161,['Pop']
134,0.4522173071,0.5132380502,0.5604099311,0.0194426943,0.096566694,0.5255193792,114.29,0.8940722715,2009.0,AWOL - A Way Of Life,1,1,AWOL,Hip-Hop,[21],Street Music,207,['Hip-Hop']
139,0.1065495253,0.2609111726,0.6070668636,0.8350869898,0.2236762711,0.0305692764,196.961,0.1602670903,2009.0,Every Man For Himself,60,54,Alec K. Redfearn & the Eyesores,Folk,[17],CandyAss,296,['Folk']
140,0.3763124975,0.7340790229,0.2656847734,0.6695811237,0.0859951222,0.0390682262,107.952,0.6099912728,2007.0,The Blind Spot,61,54,Alec K. Redfearn & the Eyesores,Folk,[17],Queen Of The Wires,253,['Folk']
141,0.9636568796,0.435932998,0.0756321472,0.3454934909,0.1056858694,0.0266578493,33.477,0.1639499337,2009.0,Every Man For Himself,60,54,Alec K. Redfearn & the Eyesores,Folk,[17],Ohio,182,['Folk']
142,0.6628811246,0.3790654766,0.8238557796,0.9102661844,0.0887052551,0.0790903546,147.781,0.0928676322,2005.0,The Quiet Room,62,54,Alec K. Redfearn & the Eyesores,Folk,[17],Punjabi Watery Grave,470,['Folk']
144,0.9090114288,0.4436425913,0.6419971681,0.9240916996,0.2676694513,0.0896589132,128.537,0.7882507821,2009.0,Amoebiasis,64,56,Amoebic Ensemble,Jazz,[4],Wire Up,82,['Jazz']
145,0.2355061866,0.4386716924,0.4877519875,0.7161218401,0.0703593076,0.047297772,120.79,0.650451689,2009.0,Amoebiasis,64,56,Amoebic Ensemble,Jazz,[4],Amoebiasis,326,['Jazz']
146,0.5320194932,0.4176809211,0.4764224981,0.4025004064,0.172104669,0.0353607215,135.468,0.6823971806,1995.0,Limbic Rage,65,56,Amoebic Ensemble,Jazz,[4],Gimme a Buck or I'll Touch You / Boilermaker,354,['Jazz']
147,0.7784099162,0.7066810633,0.8661160135,0.8067025985,0.1046498167,0.0650834651,120.218,0.9176129075,1995.0,Limbic Rage,65,56,Amoebic Ensemble,Jazz,[4],Repetitive Motion Sickness,232,['Jazz']
153,0.9883055496,0.2556609004,0.9797737929,0.9730057241,0.121342,0.0517397623,90.241,0.0340178672,2005.0,Arc and Sender,69,60,Arc and Sender,Rock,"[26, 12]",Hundred-Year Flood,405,"['Post-Rock', 'Rock']"
154,0.9701348869,0.3529461312,0.0238515619,0.9571128852,0.1132607212,0.0321767642,53.758,0.035631561,2005.0,Arc and Sender,69,60,Arc and Sender,Rock,"[26, 12]",Squares And Circles,319,"['Post-Rock', 'Rock']"
155,0.9816573443,0.1422492483,0.9121220855,0.9672939775,0.3635095155,0.0875269884,91.912,0.0343252564,2009.0,unreleased demo,70,60,Arc and Sender,Rock,"[26, 12]",Maps of the Stars Homes,756,"['Post-Rock', 'Rock']"
169,0.989141175,0.2259775281,0.7228348527,0.2630762793,0.0923705318,0.0534063523,94.322,0.0283472078,2008.0,Boss of Goth,72,62,Argumentix,Rock,"[25, 12]",Boss of Goth,144,"['Punk', 'Rock']"
170,0.8866597102,0.2985183025,0.7443325625,0.9209504901,0.1395870184,0.0887810414,97.88,0.0735475474,2007.0,Nightmarcher,73,62,Argumentix,Rock,"[25, 12]",Industry Standard Massacre,181,"['Punk', 'Rock']"
171,0.6982777611,0.2858156458,0.2134937338,0.9556913003,0.0870359278,0.0640938189,125.645,0.1505991359,2009.0,Victim of Your Life,74,62,Argumentix,Rock,"[25, 12]",Marching as Technitions,80,"['Punk', 'Rock']"
172,0.8155489042,0.1441250712,0.8927211866,0.9004301244,0.1047034668,0.1022936576,138.68,0.0349164186,2009.0,Heir to the Power Bear Fortune,75,62,Argumentix,Rock,"[25, 12]",I Can't Stand You Up-right,206,"['Punk', 'Rock']"
173,0.8421128878,0.2852932287,0.5646886968,0.9516243456,0.1104813781,0.0406105474,166.552,0.254299214,2008.0,Boss of Goth,72,62,Argumentix,Rock,"[25, 12]",Save Life's Golden Receipt In Case Refund Needed,218,"['Punk', 'Rock']"
174,0.3673926458,0.3396980706,0.8466394386,0.9091861794,0.1989439803,0.4626074726,70.887,0.0482427328,2008.0,Boss of Goth,72,62,Argumentix,Rock,"[25, 12]",Senator's Stance,199,"['Punk', 'Rock']"
175,0.9939276168,0.3100899771,0.9524931303,0.2743114791,0.3542305191,0.8257439071,69.413,0.0334023117,2007.0,Nightmarcher,73,62,Argumentix,Rock,"[25, 12]",Snapped Today,111,"['Punk', 'Rock']"
176,0.8335160135,0.2065092789,0.779140487,0.9408410856,0.3723113985,0.0772271448,123.583,0.0281438157,2009.0,Victim of Your Life,74,62,Argumentix,Rock,"[25, 12]",Step Up to Legends,160,"['Punk', 'Rock']"
177,0.7542752993,0.2091129065,0.5799592774,0.7368654346,0.1121648933,0.0733502023,95.932,0.0833302608,2008.0,Boss of Goth,72,62,Argumentix,Rock,"[25, 12]",Petty Hate Machine,129,"['Punk', 'Rock']"
178,0.9955533218,0.1861459299,0.4130542364,0.9551374475,0.1117162764,0.040892505,61.316,0.252819344,2009.0,"Tarantula Downpour 7""",76,62,Argumentix,Rock,"[25, 12]",Lend Me a Blanket,259,"['Punk', 'Rock']"
179,0.9588732916,0.2746088553,0.9894824701,0.9193623081,0.5465156876,0.1853163118,84.173,0.0332076001,2009.0,Dracula Safari,77,62,Argumentix,Rock,"[25, 12]",Ready to Die,90,"['Punk', 'Rock']"
189,0.9936702086,0.6225780356,0.216906878,0.9728700043,0.1109893491,0.0299235029,92.124,0.039641258,2009.0,What I Know,85,127,Ed Askew,Folk,[17],The Thought Of It,283,['Folk']
190,0.9906294902,0.5007534567,0.3712297429,0.1028384438,0.2188101942,0.0325288108,100.919,0.2512323052,2009.0,Blue Piano,84,127,Ed Askew,Folk,[17],Castle Of Stars,249,['Folk']
191,0.9824639154,0.2865572933,0.2383479416,0.9429368516,0.0974932193,0.0299079097,115.292,0.0861365084,2009.0,What I Know,85,127,Ed Askew,Folk,[17],Song About Michael,224,['Folk']
192,0.9928656425,0.653847565,0.0441512437,0.3384042114,0.1127408309,0.8453119277,129.673,0.7881602727,2009.0,What I Know,85,127,Ed Askew,Folk,[17],Ed Talk WNYC,40,['Folk']
